ticker,crsp_fundno,caldt,dnav,dret
SSO,25653,20130408,72.7,0.01324
SSO,25653,20130412,75.11,-0.005561
SSO,25653,20130416,73.72,0.02889
SSO,25653,20130418,70.64,-0.012856
SSO,25653,20130422,72.55,0.009321
SSO,25653,20130424,74.1,0.00054
SSO,25653,20130426,74.43,-0.003881
SSO,25653,20130709,81.32,0.014345
SSO,25653,20130430,75.83,0.004903
SSO,25653,20130502,75.83,0.018536
SSO,25653,20130508,79.27,0.009038
SSO,25653,20130510,79.4,0.007614
SSO,25653,20130514,81.11,0.020894
SSO,25653,20130516,81.16,-0.009882
SSO,25653,20130520,82.72,-0.000966
SSO,25653,20130701,77.67,0.012647
SSO,25653,20130524,81.09,-0.001355
SSO,25653,20130529,80.98,-0.013522
SSO,25653,20130705,79.3,0.020723
SSO,25653,20130531,79.19,-0.029534
SSO,25653,20130712,83.98,0.004545
SSO,25653,20130604,79.32,-0.010602
SSO,25653,20130612,77.52,-0.016618
SSO,25653,20130611,78.83,-0.020259
SSO,25653,20130614,78.89,-0.012146
SSO,25653,20130620,75.11,-0.050442
SSO,25653,20130702,77.56,-0.001416
SSO,25653,20130806,85.85,-0.011628
SSO,25653,20130717,84.15,0.005617
SSO,25653,20130904,81.68,0.016932
SSO,25653,20130909,83.53,0.019902
SSO,25653,20130906,81.9,0.000855
SSO,25653,20130820,81.55,0.008409
SSO,25653,20130812,85.16,-0.00246
SSO,25653,20130716,83.68,-0.007708
SSO,25653,20130918,89.02,0.024278
SSO,25653,20131022,91.97,0.011215
SSO,25653,20130122,65.98,0.009331
SSO,25653,20130124,66.2,0.000151
SSO,25653,20130104,63.67,0.009673
SSO,25653,20121218,62.09,0.023068
SSO,25653,20121214,59.28,-0.008364
SSO,25653,20121212,60.51,0.001324
SSO,25653,20121206,59.25,0.006968
SSO,25653,20121203,58.82,-0.009431
SSO,25653,20121119,56.9,0.039839
SSO,25653,20121113,55.87,-0.007285
SSO,25653,20121108,56.08,-0.024356
SSO,25653,20130118,65.37,0.006157
SSO,25653,20121102,59.05,-0.018614
SSO,25653,20121105,59.31,0.004403
SSO,25653,20121031,58.87,0.00017
SSO,25653,20121101,60.17,0.022083
SSO,25653,20140218,101.63,0.002466
SSO,25653,20160427,66.06,0.003494
SSO,25653,20141229,132.24,0.002046
SSO,25653,20161215,77.6,0.007923
SSO,25653,20150318,133.6,0.024226
SSO,25653,20131029,93.81,0.011211
SSO,25653,20160822,71.99,-0.000971
SSO,25653,20140505,106.65,0.003765
SSO,25653,20150604,66.7,-0.016949
SSO,25653,20151203,63.65,-0.028689
SSO,25653,20140915,119.16,-0.001425
SSO,25653,20160406,64.29,0.021774
SSO,25653,20170523,87.59,0.003782
SSO,25653,20131213,94.52,-0.000317
SSO,25653,20161212,77.24,-0.002325
SSO,25653,20140319,104.03,-0.012061
SSO,25653,20170217,83.97,0.003226
SSO,25653,20150814,66.49,0.00773
SSO,25653,20140922,120.38,-0.016021
SSO,25653,20140307,105.93,0.00104
SSO,25653,20140403,107.16,-0.00242
SSO,25653,20141114,125.96,0.000636
SSO,25653,20140808,112.56,0.02318
SSO,25653,20160428,64.84,-0.018468
SSO,25653,20180507,107.61,0.00683
SSO,25653,20170918,95.72,0.003144
SSO,25653,20180601,112.77,0.02156
SSO,25653,20170425,86.71,0.012021
SSO,25653,20131120,95.02,-0.006898
SSO,25653,20161129,73.67,0.003268
SSO,25653,20161104,65.77,-0.003032
SSO,25653,20151211,61.33,-0.038715
SSO,25653,20140714,117.9,0.009677
SSO,25653,20150819,65.78,-0.0163
SSO,25653,20141014,106.61,0.003294
SSO,25653,20141003,117.15,0.022251
SSO,25653,20141201,127.8,-0.013661
SSO,25653,20140310,105.84,-0.00085
SSO,25653,20140508,105.76,-0.002264
SSO,25653,20141226,131.97,0.006406
SSO,25653,20140814,115.43,0.008739
SSO,25653,20140718,118.02,0.020493
SSO,25653,20160301,58.93,0.047831
SSO,25653,20151007,60.2,0.01672
SSO,25653,20171208,107.45,0.011104
SSO,25653,20180116,117.59,-0.007093
SSO,25653,20180622,114.23,0.003602
SSO,25653,20180718,119.19,0.004128
SSO,25653,20170511,87.26,-0.003768
SSO,25653,20131108,93.78,0.026826
SSO,25653,20131203,96.53,-0.006689
SSO,25653,20170227,85.37,0.002466
SSO,25653,20160714,70.54,0.010747
SSO,25653,20140121,101.89,0.005626
SSO,25653,20140212,99.25,0.000605
SSO,25653,20160120,52.08,-0.023439
SSO,25653,20151204,66.25,0.040848
SSO,25653,20140219,100.3,-0.013087
SSO,25653,20140515,105.36,-0.018172
SSO,25653,20160318,63.32,0.008601
SSO,25653,20140609,114.73,0.001834
SSO,25653,20160418,66.01,0.0132
SSO,25653,20140701,117.38,0.013644
SSO,25653,20151016,62.46,0.008884
SSO,25653,20150731,67.17,-0.004446
SSO,25653,20150526,67.15,-0.020709
SSO,25653,20150430,131.64,-0.020098
SSO,25653,20140903,121.06,-0.001238
SSO,25653,20150414,132.98,0.00332
SSO,25653,20141007,113.25,-0.030311
